vep_model	missing	total	pct_missing
SIFT4G_converted_rankscore	587	11974	4.9
SIFT_converted_rankscore	525	11974	4.38
PrimateAI_rankscore	474	11974	3.96
DEOGEN2_rankscore	471	11974	3.93
REVEL_rankscore	398	11974	3.32
AlphaMissense_rankscore	142	11974	1.19
MetaRNN_rankscore	94	11974	0.79
MutPred2_rankscore	83	11974	0.69
MutScore_rankscore	72	11974	0.6
CADD_raw_rankscore	0	11974	0
