vep_model	missing	total	pct_missing
SIFT_converted_rankscore	2057	39938	5.15
SIFT4G_converted_rankscore	1816	39938	4.55
DEOGEN2_rankscore	1517	39938	3.8
REVEL_rankscore	1462	39938	3.66
PrimateAI_rankscore	761	39938	1.91
MetaRNN_rankscore	338	39938	0.85
AlphaMissense_rankscore	200	39938	0.5
MutScore_rankscore	175	39938	0.44
MutPred2_rankscore	159	39938	0.4
CADD_raw_rankscore	0	39938	0
