"column","threshold","n","accuracy","sensitivity","specificity","precision","f1","mcc","auc"
"SIFT_converted_rankscore",0.4,15225,0.741871921182266,0.841307981613038,0.573500796037502,0.769590978593272,0.803853064483929,0.432305558128601,0.788952585482644
"SIFT_converted_rankscore",0.5,15225,0.737077175697865,0.77632678646051,0.670617371307271,0.799634133218552,0.78780811025709,0.442808106292158,0.788952585482644
"SIFT_converted_rankscore",0.6,15225,0.727290640394089,0.715628917676557,0.747036971519547,0.827294685990338,0.767421017252969,0.448804317182695,0.788952585482644
"SIFT_converted_rankscore",0.7,15225,0.700426929392447,0.624216464688675,0.829471077304086,0.861075082864966,0.72375991763067,0.440125755348432,0.788952585482644
"SIFT_converted_rankscore",0.8,15225,0.598686371100164,0.417885499373172,0.904829294180081,0.881445570736007,0.566973777462792,0.340878461880674,0.788952585482644
"SIFT_converted_rankscore",0.9,15225,0.598686371100164,0.417885499373172,0.904829294180081,0.881445570736007,0.566973777462792,0.340878461880674,0.788952585482644
"SIFT4G_converted_rankscore",0.4,15455,0.734454868974442,0.844586909316513,0.550311203319502,0.758473395858483,0.799217221135029,0.415763214175585,0.773136260780509
"SIFT4G_converted_rankscore",0.5,15455,0.731219670009706,0.782338951504498,0.645746887966805,0.786895475819033,0.784610598361506,0.427267272291108,0.773136260780509
"SIFT4G_converted_rankscore",0.6,15455,0.715173083144613,0.706441939820081,0.729771784232365,0.813817748659917,0.756337872246208,0.423776098340794,0.773136260780509
"SIFT4G_converted_rankscore",0.7,15455,0.691750242639922,0.619894530038259,0.811894882434302,0.846392771424538,0.715649994031276,0.419371190270195,0.773136260780509
"SIFT4G_converted_rankscore",0.8,15455,0.601423487544484,0.431392823906525,0.885719225449516,0.86323194703083,0.575289575289575,0.331017559158214,0.773136260780509
"SIFT4G_converted_rankscore",0.9,15455,0.52539631187318,0.296866921724744,0.907503457814661,0.842924251321198,0.439091534755678,0.238599737344184,0.773136260780509
"MetaRNN_rankscore",0.4,15798,0.862261045701988,0.939164648910412,0.732755691471288,0.855449365925381,0.895354429162258,0.701694812579123,0.94768917201924
"MetaRNN_rankscore",0.5,15798,0.868780858336498,0.924737691686844,0.774549779136935,0.87353473744401,0.898407253124234,0.715902686316317,0.94768917201924
"MetaRNN_rankscore",0.6,15798,0.874604380301304,0.902542372881356,0.827556914712878,0.898102600140548,0.900317013032758,0.731351882380704,0.94768917201924
"MetaRNN_rankscore",0.7,15798,0.873275098113685,0.868744955609362,0.880903839619436,0.924720790378007,0.895859342488556,0.736781422941318,0.94768917201924
"MetaRNN_rankscore",0.8,15798,0.863083934675275,0.825161420500404,0.926945293917771,0.950052270879312,0.883213649370984,0.73022995733358,0.94768917201924
"MetaRNN_rankscore",0.9,15798,0.826117230029118,0.737489911218725,0.975365273530411,0.980549966465459,0.841826452467323,0.690410110342098,0.94768917201924
"REVEL_rankscore",0.4,15446,0.827528162631102,0.995360346427467,0.544283974247433,0.786604742116842,0.878754778809394,0.645626407859475,0.960400395743442
"REVEL_rankscore",0.5,15446,0.861970736760326,0.98989586555315,0.646076213676701,0.82518263859046,0.900065622949283,0.713049138462997,0.960400395743442
"REVEL_rankscore",0.6,15446,0.887867409037939,0.975152077533766,0.740560292326431,0.863823180199105,0.916117783804727,0.76150705264308,0.960400395743442
"REVEL_rankscore",0.7,15446,0.903534895765894,0.94917001752758,0.826518183400035,0.902283642066059,0.92513315244699,0.791803453178099,0.960400395743442
"REVEL_rankscore",0.8,15446,0.896024860805386,0.894937622435303,0.897859752914564,0.936656954785799,0.915322155436043,0.782199623924237,0.960400395743442
"REVEL_rankscore",0.9,15446,0.815356726660624,0.729765955253119,0.959805115712546,0.968395129292653,0.832314205079962,0.667577933573144,0.960400395743442
"MutPred2_rankscore",0.4,15802,0.775344893051512,0.905898876404494,0.552279739458348,0.775639924411613,0.835724201758445,0.502066888198206,0.846739554576015
"MutPred2_rankscore",0.5,15802,0.785660043032528,0.867375601926164,0.646040452519712,0.807207543646718,0.836210648483969,0.530200476554884,0.846739554576015
"MutPred2_rankscore",0.6,15802,0.783445133527402,0.810593900481541,0.737058621871786,0.840441023507385,0.825247676437545,0.541458415343543,0.846739554576015
"MutPred2_rankscore",0.7,15802,0.76135932160486,0.730337078651685,0.814364072677408,0.870501016381681,0.794282908733839,0.526631936604403,0.846739554576015
"MutPred2_rankscore",0.8,15802,0.706619415263891,0.602728731942215,0.884127528282482,0.898862956313585,0.721595003603171,0.475576045411257,0.846739554576015
"MutPred2_rankscore",0.9,15802,0.600430325275282,0.395866773675762,0.949948577305451,0.931099575271354,0.555539912712938,0.376701177177775,0.846739554576015
"PrimateAI_rankscore",0.4,15438,0.719458479077601,0.797282222898286,0.581854043392505,0.77123798312733,0.784043879331838,0.384549697779681,0.749291337505983
"PrimateAI_rankscore",0.5,15438,0.688301593470657,0.690396511509989,0.684597453828223,0.794677249912455,0.738875624050358,0.36246053132839,0.749291337505983
"PrimateAI_rankscore",0.6,15438,0.637453037958285,0.562316195112058,0.770306616460463,0.812335188983299,0.664589201174567,0.321719717968293,0.749291337505983
"PrimateAI_rankscore",0.7,15438,0.581616789739604,0.434540107494169,0.841671149363457,0.829140866873065,0.570230886951893,0.281161402763588,0.749291337505983
"PrimateAI_rankscore",0.8,15438,0.521699702033942,0.300882263462123,0.912139142908374,0.858258605727509,0.44556239675627,0.245464010349041,0.749291337505983
"PrimateAI_rankscore",0.9,15438,0.446366109599689,0.154649629854984,0.962166039089116,0.878456221198157,0.262999051478831,0.177621306391777,0.749291337505983
