vep_model	missing	total	pct_missing
DEOGEN2_rankscore	425	10207	4.16
PrimateAI_rankscore	394	10207	3.86
SIFT_converted_rankscore	366	10207	3.59
SIFT4G_converted_rankscore	301	10207	2.95
REVEL_rankscore	224	10207	2.19
AlphaMissense_rankscore	95	10207	0.93
MutPred2_rankscore	79	10207	0.77
MetaRNN_rankscore	70	10207	0.69
MutScore_rankscore	66	10207	0.65
CADD_raw_rankscore	0	10207	0
